250 15547
0 1 2
0 3 20
0 6 3
0 7 8
0 9 2
0 10 11
0 12 1
0 13 6
0 16 11
0 17 11
0 18 12
0 19 15
0 20 17
0 22 5
0 25 13
0 27 3
0 29 13
0 31 13
0 34 3
0 35 12
0 36 11
0 37 10
0 40 10
0 41 19
0 43 9
0 44 19
0 47 13
0 49 12
0 53 15
0 55 7
0 57 8
0 58 16
0 59 16
0 60 16
0 61 18
0 62 3
0 69 16
0 70 11
0 71 4
0 73 3
0 78 1
0 79 17
0 80 10
0 81 20
0 83 18
0 86 10
0 88 17
0 90 5
0 93 10
0 94 13
0 96 13
0 98 13
0 99 12
0 100 17
0 103 14
0 104 14
0 106 16
0 108 6
0 110 15
0 111 20
0 113 16
0 116 13
0 117 5
0 118 16
0 121 4
0 122 8
0 124 9
0 125 7
0 126 19
0 127 10
0 128 10
0 129 7
0 133 18
0 135 19
0 137 4
0 138 2
0 140 8
0 143 6
0 144 4
0 145 5
0 148 18
0 149 3
0 151 16
0 155 6
0 156 12
0 158 15
0 159 15
0 160 15
0 161 20
0 162 13
0 165 14
0 166 12
0 168 18
0 169 16
0 170 1
0 171 15
0 172 5
0 173 3
0 174 8
0 175 5
0 177 10
0 178 6
0 179 9
0 181 16
0 183 1
0 184 13
0 185 11
0 188 13
0 189 7
0 190 6
0 193 18
0 196 16
0 197 1
0 198 12
0 200 10
0 202 3
0 203 12
0 204 12
0 205 14
0 209 2
0 210 6
0 211 4
0 212 4
0 213 11
0 214 13
0 215 1
0 216 11
0 222 1
0 224 9
0 225 9
0 227 17
0 228 2
0 230 8
0 238 12
0 241 3
0 242 2
0 243 4
0 244 20
0 247 9
1 2 2
1 3 20
1 4 5
1 6 6
1 7 13
1 8 11
1 11 2
1 12 19
1 13 17
1 15 16
1 17 4
1 20 3
1 23 1
1 25 5
1 26 2
1 28 7
1 29 16
1 30 19
1 31 4
1 35 10
1 39 15
1 40 7
1 42 4
1 45 17
1 47 9
1 49 1
1 51 17
1 52 1
1 53 5
1 55 9
1 56 4
1 57 14
1 58 10
1 59 1
1 62 2
1 64 10
1 65 11
1 66 8
1 67 2
1 69 8
1 70 2
1 71 3
1 76 12
1 77 6
1 81 20
1 82 8
1 83 11
1 84 4
1 87 15
1 90 8
1 91 6
1 94 5
1 97 5
1 99 4
1 103 9
1 104 15
1 107 13
1 108 13
1 110 14
1 115 19
1 117 13
1 118 16
1 120 4
1 126 16
1 131 14
1 132 9
1 133 5
1 135 1
1 136 18
1 139 16
1 140 6
1 141 17
1 142 9
1 144 12
1 146 7
1 147 19
1 150 6
1 152 12
1 153 4
1 154 15
1 155 19
1 156 18
1 157 6
1 162 8
1 163 17
1 164 19
1 165 7
1 169 8
1 171 3
1 173 2
1 175 7
1 176 15
1 181 9
1 182 2
1 185 2
1 186 20
1 187 16
1 189 14
1 191 3
1 194 4
1 195 7
1 196 18
1 197 1
1 199 13
1 200 15
1 201 8
1 204 17
1 205 15
1 206 12
1 209 5
1 212 19
1 215 7
1 218 4
1 219 4
1 220 9
1 221 15
1 222 18
1 223 18
1 226 16
1 227 8
1 230 8
1 235 17
1 239 7
1 242 2
1 243 10
1 244 11
1 247 16
1 248 5
1 249 10
2 3 10
2 4 11
2 7 11
2 8 5
2 10 16
2 11 5
2 14 19
2 15 1
2 17 5
2 18 3
2 19 18
2 20 6
2 21 18
2 23 7
2 24 19
2 25 16
2 26 7
2 27 12
2 29 16
2 30 6
2 31 13
2 32 7
2 33 17
2 39 2
2 41 6
2 44 14
2 45 20
2 46 17
2 47 16
2 48 2
2 49 15
2 51 15
2 54 15
2 55 2
2 56 11
2 58 6
2 60 17
2 61 19
2 66 7
2 67 19
2 69 4
2 70 9
2 72 13
2 75 9
2 84 6
