1000 249289
0 1 13
0 3 12
0 4 19
0 5 6
0 6 3
0 10 14
0 11 2
0 13 13
0 14 5
0 15 19
0 17 10
0 20 7
0 22 13
0 27 20
0 30 11
0 32 9
0 37 20
0 39 8
0 40 15
0 41 15
0 42 17
0 47 3
0 49 2
0 51 4
0 53 1
0 54 11
0 56 12
0 57 10
0 60 13
0 63 3
0 67 16
0 69 6
0 70 6
0 74 12
0 76 12
0 77 7
0 80 5
0 81 1
0 83 9
0 84 5
0 85 10
0 90 1
0 91 5
0 92 17
0 95 3
0 96 13
0 98 12
0 100 10
0 102 18
0 103 16
0 104 16
0 105 6
0 106 14
0 109 6
0 110 6
0 111 11
0 112 4
0 113 14
0 117 3
0 118 18
0 119 17
0 120 9
0 121 3
0 122 7
0 125 14
0 126 12
0 127 19
0 128 12
0 131 15
0 134 13
0 135 15
0 136 3
0 138 14
0 139 16
0 142 9
0 150 15
0 151 16
0 155 8
0 156 5
0 162 1
0 166 8
0 167 11
0 168 8
0 169 18
0 172 20
0 173 5
0 176 12
0 178 11
0 180 1
0 181 15
0 186 9
0 188 2
0 191 17
0 192 12
0 195 5
0 197 13
0 198 14
0 203 15
0 204 1
0 205 15
0 207 14
0 209 16
0 210 6
0 214 11
0 215 15
0 216 14
0 217 2
0 219 5
0 221 20
0 222 20
0 224 5
0 227 7
0 231 18
0 232 4
0 233 7
0 234 2
0 235 9
0 237 4
0 238 19
0 239 15
0 240 9
0 241 15
0 242 6
0 244 1
0 246 6
0 248 11
0 249 6
0 251 3
0 256 6
0 260 11
0 262 17
0 266 13
0 268 5
0 269 11
0 270 18
0 271 12
0 273 20
0 276 7
0 277 20
0 279 7
0 281 5
0 282 12
0 284 5
0 287 20
0 289 3
0 290 1
0 291 9
0 295 9
0 297 11
0 298 17
0 300 10
0 305 10
0 310 15
0 311 8
0 312 16
0 315 6
0 318 4
0 320 19
0 321 1
0 324 20
0 328 17
0 329 5
0 333 4
0 334 18
0 336 3
0 337 15
0 338 2
0 339 14
0 342 19
0 343 12
0 345 16
0 347 9
0 349 5
0 350 14
0 351 8
0 352 15
0 356 15
0 359 14
0 360 3
0 362 20
0 363 12
0 366 4
0 370 19
0 372 5
0 373 17
0 375 10
0 376 3
0 378 2
0 380 5
0 382 4
0 383 7
0 385 9
0 391 1
0 393 3
0 395 14
0 396 5
0 399 7
0 401 5
0 405 15
0 406 16
0 407 15
0 410 17
0 421 7
0 422 17
0 425 8
0 426 11
0 427 2
0 428 6
0 431 16
0 432 11
0 437 8
0 438 9
0 441 13
0 445 13
0 446 6
0 447 7
0 449 4
0 450 20
0 451 17
0 454 19
0 455 12
0 457 10
0 458 2
0 459 17
0 460 20
0 461 5
0 463 1
0 464 13
0 465 5
0 468 5
0 469 10
0 470 9
0 473 7
0 478 8
0 481 12
0 484 10
0 488 6
0 491 12
0 492 12
0 493 15
0 497 8
0 498 6
0 499 20
0 502 9
0 507 19
0 509 17
0 510 19
0 512 1
0 513 11
0 514 18
0 518 1
0 522 3
0 525 10
0 528 14
0 529 17
0 530 8
0 532 20
0 535 8
0 540 9
0 542 18
0 543 19
0 545 12
0 547 19
0 549 9
0 554 2
0 555 10
0 557 13
0 558 1
0 559 17
0 560 17
0 561 18
0 563 20
0 564 14
0 565 20
0 566 3
0 573 8
0 575 14
0 576 7
0 577 7
0 578 12
0 581 10
0 584 8
0 585 4
0 587 2
0 588 15
0 590 4
0 591 1
0 592 7
0 593 17
0 594 19
0 595 16
0 596 3
0 597 10
0 603 2
0 607 19
0 611 2
0 613 2
0 614 12
0 615 17
0 616 14
0 618 12
0 620 10
0 621 11
0 623 5
0 625 6
0 626 1
0 634 4
0 637 18
0 642 9
0 643 14
0 644 12
0 645 1
0 652 9
0 653 10
0 654 6
0 656 16
0 658 19
0 659 19
0 661 10
0 662 18
0 664 4
0 666 4
0 667 4
0 670 15
0 672 12
0 674 6
0 675 6
0 676 1
0 679 18
0 681 13
0 683 20
0 684 7
0 685 9
0 686 2
0 690 20
0 692 6
0 693 17
0 697 17
0 698 17
0 699 20
0 701 19
0 702 19
0 703 6
0 704 10
0 705 5
0 707 3
0 708 3
0 711 6
0 713 7
0 714 20
0 715 5
0 716 9
0 717 2
0 718 18
0 719 19
0 720 12
0 723 19
0 725 11
0 726 20
0 728 8
0 729 19
0 730 12
0 732 10
0 733 17
0 734 14
0 735 13
0 736 4
0 737 15
0 738 7
0 739 4
0 740 9
0 741 3
0 742 15
0 746 15
0 747 20
0 749 19
0 750 7
0 751 8
0 752 6
0 754 7
0 755 5
0 756 13
0 759 17
0 762 16
0 763 13
0 765 12
0 767 11
0 768 13
0 771 6
0 773 6
0 777 20
0 778 11
0 779 2
0 783 9
0 785 8
0 786 18
0 788 6
0 790 20
0 791 2
0 793 4
0 794 15
0 797 2
0 798 8
0 800 16
0 804 12
0 805 20
0 806 13
0 807 20
0 808 1
0 809 18
0 812 16
0 814 19
0 815 7
0 816 5
0 825 2
0 826 13
0 830 9
0 831 11
0 835 15
0 836 1
0 839 6
0 842 8
0 843 16
0 846 2
0 847 18
0 848 20
0 849 19
0 851 10
0 856 19
0 857 6
0 859 15
0 861 16
0 862 5
0 864 10
0 865 1
0 868 4
0 869 14
0 870 2
0 871 14
0 872 16
0 873 16
0 874 18
0 875 11
0 877 1
0 878 2
0 880 13
0 881 1
0 883 9
0 884 17
0 887 1
0 889 5
0 890 5
0 893 19
0 896 5
0 897 17
0 898 1
0 902 20
0 903 1
0 904 10
0 905 6
0 907 19
0 909 18
0 911 14
0 912 14
0 914 14
0 916 14
0 918 8
0 922 10
0 923 8
0 927 13
0 929 6
0 930 15
0 932 12
0 936 9
0 938 10
0 942 11
0 943 12
0 944 9
0 947 4
0 949 8
0 950 4
0 955 12
0 957 2
0 958 13
0 959 12
0 961 3
0 968 15
0 969 17
0 970 3
0 972 15
0 979 17
0 981 2
0 985 2
0 986 14
0 989 2
0 990 10
0 992 3
0 993 20
0 995 12
0 999 8
1 3 17
1 4 11
1 5 2
1 6 7
1 7 18
1 8 18
1 9 9
1 10 14
1 12 5
1 13 15
1 14 13
1 20 5
1 21 13
1 23 8
1 25 11
1 26 3
1 27 20
1 29 3
1 30 6
1 32 6
1 33 14
1 34 2
1 35 17
1 37 5
1 39 15
1 44 15
1 53 1
1 54 6
1 55 11
1 57 20
1 58 1
1 63 7
1 65 17
1 66 4
1 69 16
1 71 8
1 76 1
1 77 20
1 79 16
1 81 13
1 82 16
1 85 4
1 86 1
1 91 3
1 92 9
1 93 12
1 95 17
1 96 15
1 97 8
1 100 9
1 102 10
1 105 6
1 108 12
1 110 1
1 112 11
1 114 6
1 116 17
1 117 8
1 119 9
1 120 19
1 122 2
1 124 7
1 127 8
1 131 15
1 133 19
1 144 9
1 146 11
1 149 11
1 150 13
1 151 17
1 152 16
1 153 16
1 154 13
1 155 18
1 156 3
1 157 17
1 158 19
1 159 14
1 161 15
1 162 10
1 164 19
1 165 19
1 169 15
1 170 16
1 173 13
1 180 11
1 182 13
1 183 15
1 184 9
1 185 11
1 186 19
1 187 5
1 191 1
1 193 13
1 194 5
1 195 5
1 197 12
1 201 13
1 202 7
1 203 3
1 204 5
1 205 8
1 207 13
1 209 5
1 210 5
1 211 9
1 215 2
1 216 10
1 217 8
1 220 6
1 224 9
1 227 15
1 228 16
1 232 12
1 233 7
1 234 4
1 235 1
1 236 10
1 237 4
1 238 12
1 239 6
1 241 8
1 243 2
1 244 6
1 246 1
1 247 8
1 248 11
1 250 15
1 254 11
1 257 5
1 259 12
1 261 13
1 263 11
1 266 17
1 268 17
1 270 1
1 271 7
1 272 16
1 273 20
1 274 15
1 275 17
1 276 19
1 278 14
1 283 5
1 286 13
1 288 8
1 289 3
1 290 13
1 291 4
1 292 9
1 293 9
1 294 13
1 297 11
1 298 9
1 300 14
1 302 11
1 305 1
1 307 7
1 308 9
1 309 3
1 310 17
1 313 3
1 314 14
1 317 6
1 318 14
1 319 6
1 320 20
1 322 9
1 327 14
1 331 1
1 334 11
1 336 15
1 338 5
1 341 6
1 344 13
1 346 17
1 347 9
1 350 15
1 351 8
1 353 5
1 354 4
1 355 12
1 356 12
1 357 11
1 358 6
1 360 13
1 362 8
1 364 4
1 365 8
1 367 1
1 371 11
1 375 6
1 376 1
1 378 17
1 379 17
1 380 8
1 382 10
1 383 15
1 384 8
1 387 4
1 388 19
1 389 2
1 396 18
1 398 11
1 399 14
1 400 12
1 402 13
1 406 10
1 407 6
1 415 10
1 416 5
1 417 2
1 418 15
1 421 2
1 422 3
1 424 13
1 425 7
1 427 9
1 429 12
1 430 19
1 432 6
1 433 15
1 439 16
1 440 19
1 442 4
1 443 4
1 445 8
1 447 19
1 450 20
1 454 20
1 455 7
1 457 6
1 461 1
1 462 8
1 463 6
1 464 18
1 466 18
1 469 13
1 471 2
1 472 7
1 473 9
1 474 6
1 475 5
1 477 10
1 480 9
1 481 13
1 482 16
1 483 3
1 484 7
1 487 6
1 488 4
1 489 17
1 491 7
1 494 13
1 497 16
1 499 5
1 501 5
1 504 13
1 505 10
1 506 17
1 507 15
1 508 20
1 525 13
1 527 18
1 530 14
1 531 19
1 534 20
1 535 18
1 536 1
1 537 8
1 544 1
1 545 15
1 547 19
1 548 6
1 549 20
1 550 17
1 555 19
1 556 2
1 560 2
1 561 2
1 562 3
1 564 8
1 565 17
1 568 15
1 569 16
1 571 4
1 572 7
1 573 1
1 575 4
1 579 10
1 580 1
1 582 2
1 583 12
1 588 17
1 589 13
1 592 5
1 597 15
1 603 3
1 604 4
1 606 4
1 610 20
1 611 17
1 612 20
1 615 15
1 617 7
1 622 7
1 623 15
1 625 17
1 627 11
1 628 3
1 630 3
1 633 14
1 634 3
1 636 5
1 637 13
1 640 16
1 642 16
1 645 14
1 646 15
1 647 4
1 648 10
1 652 1
1 654 5
1 655 13
1 660 20
1 661 4
1 662 1
1 663 5
1 665 12
1 670 6
1 672 5
1 675 1
1 680 2
1 681 14
1 682 15
1 685 15
1 687 14
1 689 9
1 690 16
1 695 20
1 696 19
1 697 11
1 698 11
1 702 17
1 703 17
1 705 5
1 707 13
1 710 18
1 711 17
1 715 13
1 717 16
1 718 12
1 722 16
1 724 2
1 726 3
1 727 15
1 729 4
1 731 13
1 732 1
1 734 6
1 736 14
1 739 6
1 741 7
1 742 1
1 745 14
1 746 14
1 753 14
1 754 5
1 755 3
1 756 5
1 758 15
1 760 19
1 762 5
1 763 10
1 765 1
1 766 8
1 768 13
1 770 16
1 773 1
1 774 3
1 776 5
1 777 10
1 779 1
1 781 4
1 783 15
1 784 6
1 787 15
1 798 15
1 799 18
1 800 9
1 801 16
1 802 16
1 803 16
1 805 5
1 808 19
1 813 14
1 814 5
1 818 16
1 820 1
1 821 19
1 822 1
1 824 7
1 825 15
1 826 14
1 828 1
1 829 7
1 830 6
1 831 18
1 832 3
1 833 17
1 835 5
1 838 12
1 839 1
1 841 19
1 842 18
1 844 14
1 848 20
1 849 3
1 850 10
1 852 2
1 854 6
1 855 15
1 861 13
1 867 16
1 869 13
1 871 10
1 872 3
1 873 6
1 874 9
1 876 14
1 879 15
1 880 18
1 885 11
1 889 15
1 894 14
1 895 8
1 896 16
1 897 15
1 898 1
1 903 1
1 905 6
1 906 5
1 907 7
1 908 13
1 910 20
1 911 16
1 913 4
1 917 19
1 918 12
1 920 15
1 921 16
1 923 10
1 925 3
1 926 16
1 930 11
1 931 19
1 934 10
1 944 7
1 946 19
1 949 9
1 954 6
1 957 1
1 958 6
1 959 7
1 960 5
1 962 9
1 963 6
1 964 2
1 966 8
1 967 8
1 969 15
1 971 12
1 973 16
1 974 6
1 975 12
1 977 15
1 978 13
1 980 8
1 981 18
1 982 20
1 984 12
1 985 11
1 987 11
1 990 11
1 992 15
1 993 6
1 994 13
1 996 4
1 997 9
2 5 1
2 7 7
2 9 3
2 10 13
2 11 18
2 14 16
2 16 7
2 17 7
2 18 16
2 19 1
2 22 18
2 25 8
2 26 10
2 27 13
2 28 20
2 32 4
2 33 19
2 39 18
2 40 9
2 44 15
2 45 4
2 46 13
2 49 18
2 50 5
2 55 20
2 56 12
2 58 16
2 60 18
2 63 19
2 64 14
2 68 10
2 69 3
2 71 14
2 72 8
2 76 9
2 78 5
2 82 1
2 83 10
2 85 13
2 86 17
2 89 1
2 90 7
2 92 4
2 93 15
2 95 2
2 96 2
2 97 16
2 99 18
2 102 17
2 103 5
2 105 2
2 108 14
2 109 20
2 110 18
2 111 16
2 112 13
2 114 8
2 118 20
2 119 17
2 121 10
2 125 13
2 127 9
2 128 13
2 130 5
2 131 19
2 132 18
2 135 14
2 136 6
2 137 19
2 138 16
