50 612
0 2 12
0 3 14
0 4 5
0 5 16
0 6 15
0 7 14
0 8 15
0 11 3
0 13 20
0 14 3
0 15 1
0 16 3
0 20 12
0 22 2
0 27 14
0 31 1
0 32 6
0 34 4
0 36 4
0 38 19
0 40 10
0 41 5
0 43 14
0 46 1
0 49 18
1 3 3
1 4 10
1 5 4
1 9 4
1 11 9
1 12 20
1 15 12
1 16 20
1 17 7
1 21 8
1 26 16
1 27 6
1 28 11
1 31 5
1 32 9
1 33 14
1 35 7
1 38 3
1 39 11
1 40 11
1 41 5
1 42 18
1 43 3
1 46 1
1 47 5
1 48 3
1 49 17
2 3 15
2 4 1
2 5 8
2 6 5
2 7 15
2 8 19
2 9 13
2 10 11
2 11 13
2 12 19
2 14 11
2 20 9
2 21 15
2 23 8
2 24 13
2 25 9
2 30 8
2 31 3
2 36 20
2 38 19
2 39 10
2 44 4
2 49 13
3 4 15
3 6 5
3 8 1
3 9 20
3 10 7
3 11 9
3 12 20
3 13 12
3 14 10
3 18 6
3 19 13
3 20 18
3 21 9
3 22 6
3 24 10
3 26 17
3 27 14
3 30 18
3 33 2
3 34 9
3 35 13
3 36 4
3 40 17
3 41 9
3 45 1
3 46 11
3 48 1
4 5 20
4 6 17
4 9 12
4 11 19
4 12 3
4 13 11
4 14 17
4 15 15
4 18 11
4 19 3
4 20 17
4 21 3
4 22 11
4 24 11
4 26 11
4 28 17
4 32 3
4 35 19
4 36 18
4 37 8
4 40 5
4 41 2
4 43 2
4 45 14
4 47 9
4 49 4
5 9 14
5 10 9
5 11 9
5 15 17
5 16 20
5 17 17
5 19 12
5 24 20
5 27 2
5 28 9
5 29 4
5 30 15
5 33 10
5 34 10
5 43 2
5 44 18
5 48 11
5 49 7
6 9 12
6 10 13
6 11 18
6 14 9
6 21 4
6 22 2
6 25 12
6 28 8
6 29 17
6 34 6
6 38 8
6 39 11
6 41 13
6 43 11
6 44 1
6 46 18
6 49 18
7 9 18
7 10 15
7 11 16
7 12 14
7 13 20
7 15 5
7 18 14
7 24 11
7 25 19
7 26 3
7 27 17
7 28 17
7 29 16
7 31 9
7 34 3
7 36 9
7 37 17
7 38 5
7 41 9
7 43 1
7 44 14
7 46 4
7 47 14
7 48 6
7 49 9
8 9 14
8 10 12
8 11 13
8 12 7
8 13 9
8 14 17
8 15 9
8 21 9
8 22 3
8 23 2
8 25 15
8 26 19
8 29 2
8 30 18
8 32 9
8 36 15
8 37 18
8 39 11
8 40 7
8 41 8
8 47 8
9 10 15
9 11 5
9 14 4
9 15 10
9 18 12
9 20 7
9 24 12
9 27 17
9 28 19
9 29 9
9 30 14
9 31 16
9 32 18
9 33 20
9 36 11
9 37 10
9 39 9
9 44 17
9 47 12
10 12 18
10 14 5
10 15 19
10 16 17
10 17 3
10 19 8
10 20 13
10 25 12
10 26 12
10 28 7
10 29 12
10 30 2
10 33 9
